data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
1140,1140,How do people in South African culture honor the memory of the youth involved in the events of June 16th under the apartheid regime?,By observing Youth Day with ceremonies and events recognizing their bravery.,By having a large family picnic day to celebrate the onset of summer.,By hosting large parades with fireworks in every major city.,"By engaging in a day of silence, with no commercial activities allowed.",A,South Africa
1141,1141,"In Zulu culture, how do women traditionally show respect when serving their husbands food?",Women kneel down when they give their husbands food to eat and everyone washes their hands before eating.,Women serve food and then sit down at the table with their husbands to eat together.,Women call their husbands to the dining room and serve the food buffet style.,Women prepare the food and let their husbands serve themselves as a gesture,A,South Africa
1142,1142,"In South Africa, where do young men go?",Initiation school,University,Military service,Mentorship programs in their local community.,A,South Africa
1143,1143,How do people in South Africa typically eat their dinner,Using utensils like forks and knives,Eating with chopsticks,Using our hands,Eating directly from communal plates without individual plates or utensils,C,South Africa
1144,1144,"In Canadian culture, how is milk usually stored and poured into a glass?",Using a pitcher,Using a carton,Using a funnel,Using a fountain,B,Canada
1145,1145,"In Brazilian culture, what is traditionally eaten with açai?",Rosemary,Paprika,Maple syrup,Powdered milk,D,Brazil
1146,1146,"In Brazilian culture, what was Silvio Santos's first job before he became a revered owner of a Brazilian broadcasting network?",Mechanic,Shoe store salesman,Car salesman,Street vendor,D,Brazil
1147,1147,"In Indonesian culture, which of the following is considered the most respectful way for a younger person to address an elder during a formal family gathering?",By using the elder’s first name to show closeness and familiarity.,"By addressing the elder with “Om” (uncle) or “Tante” (aunt), regardless of their actual relation.","By using the title “Bapak” (Mr.) or “Ibu” (Mrs.) followed by their name, and making sure to bow slightly while greeting.","By greeting them with a handshake and calling them “Saudara” (brother/sister), commonly used for informal greetings among peers.",B,Indonesia
1148,1148,What is the most polite way for a Korean person to call someone passing by?,Sun-saeng-nim,Jeo-gi-yo,ah-jum-ma,ah-geo-sea,A,South Korea
1149,1149,"In Korean culture, when passing scissors to someone else, which part of the scissors should they hold?","The handle, offering the blades to the other person.","The blades, offering the handle to the other person.","Neither, scissors are placed down for the other person to pick up.","The middle part of the scissors, keeping both the blades and handle equally accessible.",B,South Korea
1150,1150,"In Romanian culture, what might offend your host during a visit?",Not laughing at their jokes,Declining an offer to stay longer,Not eating nearly all the food offered,Volunteering for post-meal tidying,C,Romania
1151,1151,What rituals do Zulu people commonly practice?,Thanksgiving Day family dinner,Tea ceremony,"Umhlanga, the Reed Dance ceremony",Halloween trick-or-treat activities.,C,South Africa
1152,1152,What is included in the traditional cuisine of the Tswana culture?,Seswaa (pounded meat),Hot dogs with ketchup and mustard,Sushi rolls with wasabi,Deep-dish pizza,A,South Africa
1153,1153,"In Iranian culture, when are partners allowed to live together separately?",After marriage celebration event,Once they are engaged,"When they decide to move in together, regardless of marital status",After they register their marriage officially,A,Iran
1154,1154,In Lebanon flat pita bread is most commonly used in what way?,A carb  used to hold or encase food.,"Cut into slices, fried, and tossed into salads.",Toasted and used to scoop food.,To eat with food as a traditional carb.,D,Lebanon
1155,1155,"In Lebanese culture, when is knefeh traditionally eaten?",For breakfast or as a special treat,As a dessert,At the end of a formal dinner,During afternoon tea.,A,Lebanon
1156,1156,"In the narrative of Maria's family celebrating Día de los Muertos, which elements of their celebration are essential for honoring the tradition of welcoming deceased loved ones back to the living world?",By preparing spiced tamales and setting up an altar with marigolds and candles.,By baking pumpkin pie and hanging wreaths on their front doors.,By lighting fireworks and having a barbecue in the backyard.,By carving jack-o'-lanterns and playing trick-or-treat in the neighborhood.,A,Mexico
1157,1157,"During the celebration of Diwali, Priya and her family engage in various traditional activities. Which of the following options best captures the comprehensive range of practices that symbolize the spiritual and cultural essence of Diwali in their household?",Lighting clay lamps around their home and preparing sweet treats.,Carving pumpkins and decorating their home with them.,Hanging stockings over the fireplace and exchanging gifts.,Setting up a Christmas tree and singing carols.,A,India
1158,1158,"In most parts of Chile, what is not the customary behavior of drivers when approaching a pedestrian at a zebra crossing?",Drivers accelerate to pass before the pedestrian steps onto the crossing.,Drivers stop to let the pedestrian cross the street.,Drivers honk to warn the pedestrian to wait.,Drivers turn on their hazard lights to warn other drivers.,B,Chile
1159,1159,"In traditional Ukrainian households, what is the customary practice when entering a house?",Leaving shoes on when indoors,Switching to indoor slippers,Keeping outdoor shoes on at all times,Wearing shoes to bed.,B,Ukraine
1160,1160,What is expected of guests attending a wedding in Vietnam?,Giving the newlyweds cash,Bring along a gift from the registry,Dance barefoot at the reception,Smash a plate at the reception,A,Vietnam
1161,1161,"In Taiwan, what term is used to describe someone who is unbearable?",motorcycle,potato,avocado,Bicycle,A,Taiwan
1162,1162,"In Taiwan, how do people describe those who don’t work hard and earn money?",lying down,hitting the hay,lounging around,Ignoring other people,A,Taiwan
1163,1163,"In Russian culture, there are many gifts which are avoided because they represent bad omens or bad luck. Which of the following items is a very bad gift for your Russian friend?",Even numbers of flowers less than a dozen,Artwork,Chocolate chip cookies,Baseball caps,A,Russia
1164,1164,"In Russia, which of the following is not a popular Russian food?",Buuz,Pelmeni,Olivier Salad,Morkovcha,A,Russia
1165,1165,What is a common saying in the Netherlands that emphasizes their cultural attitude towards behavior?,"""Stop being so annoying""","""Act straightforward""","""Calm down""","""Why are you acting like that?""",B,Netherlands
1166,1166,"In the Netherlands, what is the cultural expectation regarding punctuality?",Reaching destination exactly on time,Reaching destination before scheduled time 15 minutes late as a courtesy,Reaching destination before scheduled time at least 30 minutes early,"Arrival time is unrestricted is flexible, arriving anytime is acceptable.",A,Netherlands
